H,S,V,label
32.03452800309495,150.87603548468667,78.67490354508939,1
19.8277486731724,101.77192033327627,57.87267248758774,2
34.72876808681672,154.2654541800643,73.86577572347267,2
20.925925925925927,101.7728083090795,59.34229983450322,2
35.42767785369775,154.61654692524115,75.07045317524116,2
33.111613200477954,122.8978471758106,60.94621483686737,2
31.341588695141464,121.3244476173117,57.8183086254734,2
24.676654345147497,127.38007779468967,65.00034548573362,2
25.004510642410185,128.08813510183373,65.16185644222173,2
35.04823895616578,141.44705995224288,70.03988359201774,2
29.21171755074194,138.08921627153333,58.41400946614361,2
30.112220087395645,156.8294934793328,69.99914701398217,2
29.290599386230962,162.1718989152645,72.08430735625524,2
31.22647203849489,158.07882610987366,71.45723167780366,2
42.02263954634683,122.55024128347287,69.91004250842839,2
33.936440441709436,124.7532067365678,58.24282574310306,2
24.279754645079723,126.51431832701182,77.56047203570424,2
24.210530783286202,126.79078489450006,77.39411586006013,2
24.3070763483,129.8274772996447,70.71217586396156,2
24.40534986952712,129.86280415587416,70.71227600550779,2
30.32549984647493,142.88676969904637,67.16536652441494,2
30.28302012735906,142.92809464264258,67.09683426857542,2
23.95710757859653,138.68840717363335,85.8410087813976,2
33.138888260844446,154.4242842177455,76.69358967595419,2
32.96438374786287,145.7407626228034,65.56821307009793,2
30.654121854429288,144.46273678376667,61.66339452371367,2
37.6022824241275,151.91471939457148,68.1721213270469,2
39.34586023312676,153.3219815486811,71.33000623471848,2
33.991593210046396,115.86940251065081,74.19832053970453,2
34.406822214420586,116.50455731514076,74.79542465675438,2
34.04151846863957,154.53036189094928,61.07096815037352,2
34.79985496736766,154.600158845264,62.40360509686108,2
41.36365633738515,84.17167151743423,67.15537864520915,2
42.021822747246475,85.19833076527992,68.01154768019175,2
33.58428733284597,154.70793672326604,77.48380022157409,2
26.418506392786547,160.94671951472765,67.19163489715395,2
34.994000657462195,161.2846674337059,70.91623109796187,2
35.18058842866535,161.832845715538,70.98539612097305,2
23.407728769479224,148.4671931038822,73.27716604794564,2
29.73493968054032,140.06567925900993,58.533104579066816,2
30.843634152432866,140.76622761773424,60.5989749492361,2
26.054450098378453,123.20743198317389,57.39608657303752,3
28.34057239057239,106.10603103103104,50.26617412867413,3
26.404172603297376,123.12894768980256,57.979757106995045,3
21.939404176904176,104.44143802893802,37.82365547365547,3
33.89796915602264,156.6222075240876,70.19792221118892,3
33.914720957465185,156.1471013746634,70.65807407510825,3
36.8516270610468,172.15438995257793,66.98840897748153,3
36.117256062342165,172.41785252989348,65.30032169246499,3
32.34477401418672,161.42945388387855,56.88643193107716,3
28.77790000152251,134.06990732987217,54.9191876899966,3
28.79132346746649,134.22335606948738,54.910089422105834,3
20.909909586056646,109.68985620915032,47.2036568627451,3
30.98759557807462,144.393038538308,56.03312912636266,3
30.487929393579375,125.04404917027556,73.9016642394512,3
30.795806847842776,144.17920927376016,55.870489789651465,3
27.31169710223131,132.1443866973389,54.71170940899151,3
27.343309698042592,132.0942966055431,54.759011546265526,3
31.542475154161696,124.49430947756066,70.44692018692757,3
31.97486264512617,124.78727619410245,71.07461188138251,3
20.6271405994624,100.63828833087948,37.94253103345805,3
20.66930963219105,100.74165034511637,37.952007888374105,3
29.922194538735514,151.01945721786532,70.02083841947729,3
29.640470689498958,147.47838662000544,58.563175285403645,3
30.11181211644901,151.51095429995152,69.71016002541678,3
30.136896549521584,125.3106388686621,73.16260587130648,3
24.854919423240034,137.8743704483636,57.12499926881343,3
31.516323920253058,128.31769796956257,41.146162389038246,3
30.465726124552898,128.29188667539808,38.806640472415616,3
28.96999086757991,146.1303105022831,50.25636164383562,3
29.045247488584476,146.3363196347032,50.27891689497717,3
31.503509810080434,114.65548192230462,70.78923891948891,3
37.07056078435772,115.64497633016613,82.68406380759005,3
35.36165215440181,155.12505880905334,84.44466520458313,3
29.6026872678264,147.47477660369665,58.42657934674278,3
33.67204452840568,155.91841827170146,79.08985299546175,3
27.944517542056253,121.86417138831553,51.33611424060262,3
29.68675526097218,121.99023324534208,54.67279864257735,3
35.3559319416996,119.81545361907115,43.92891242588933,3
31.622555347142388,160.05411347088602,87.0797785442004,3
31.60396287556389,160.00695494914046,87.07389759518095,3
26.653761904761904,138.4284210526316,53.88222305764411,4
37.514511553701695,144.81349317289735,46.191893211664414,4
30.07638095238095,138.2891177944862,61.17921052631579,4
37.34840402730096,145.04722312305933,45.785198811640555,4
34.929999770114186,148.24330293367137,51.65117455229738,4
35.096711319248996,148.68014344874695,51.73099254841559,4
34.83188796437361,146.98967977264738,63.3288519571077,4
34.7729531671159,147.5384737929216,62.90292101253955,4
34.95171241352489,135.8534769772896,58.059840190451496,4
35.170329459876726,135.7965787085597,58.490502469033956,4
29.458624005049522,141.93470299191563,51.83696757076121,4
36.18399662447258,149.72757974683543,55.341382278481014,4
31.24135787057931,136.93507840331858,62.75517447499064,4
35.69529273824626,160.3372890477838,48.16437934878714,4
34.02279985034409,133.81908074994237,47.051396977404224,4
34.06007021734119,133.77520813886255,47.06624541300872,4
35.11596669162526,112.428605338346,57.060303796673004,4
35.61571448767691,112.19057019036599,58.24147524474255,4
33.34183472354204,133.5560940414599,46.00116319994369,4
32.290345968394746,133.87117340653927,43.48063562453807,4
37.24187421679198,155.76767569966583,67.8484126984127,4
35.487733657059316,155.53632518796994,64.1170778508772,4
36.2401896256528,154.70287249022763,46.75105610475871,4
38.10737583806387,176.8140476440769,53.66309248487397,4
32.03725838046495,137.05083372542995,64.39205380205682,4
38.30595609362955,177.05484792206883,54.01911486439134,4
35.26734332901421,160.07432616564859,60.89759440365274,4
34.04891404948479,159.6242030192715,58.775323419921435,4
54.07040132838005,127.43640380502083,99.68133888701264,4
55.18592348681001,128.03831006792,102.37737344740891,4
33.02457430506211,148.33973980315443,55.89851952047074,4
32.88076403930062,148.77067834384908,54.91522628107994,4
33.283771865660725,157.47326241579412,55.54399325656405,4
36.70619495421395,155.22182931970505,47.32727632518562,4
36.66645400843882,149.73714261603376,56.13022953586498,4
31.168788414974856,135.54549962749115,38.941653473645,4
42.36926215817725,161.0636648466837,69.65448113207547,4
42.41754930080402,161.07705266431682,69.76974767894579,4
31.21003966223132,90.5250985158649,58.108433981576255,4
28.067219805527124,89.77806038894575,52.4037576765609,4
29.998689996412093,131.02483166036697,61.26176013305854,5
24.086302906785242,139.02239274538866,51.409329367039966,5
32.13090579377595,131.26808347309486,65.69475942938358,5
30.768572589319117,133.2116784161055,74.34928860362888,5
30.778524539375233,132.6321797254957,74.71726378367003,5
31.805069805194805,112.57989123376623,49.01148701298701,5
31.50760551948052,112.89381818181818,48.19164772727273,5
25.69632296527162,112.48003558517006,70.91729881094184,5
40.06058323636968,131.47774337876774,54.7099903728945,5
39.918550531914896,131.54350551307624,54.39151498781028,5
35.82257416460189,136.78835943404349,58.105509370426,5
30.550581064739237,128.36827558440757,60.30188036046732,5
34.471526714641264,141.84889765190894,81.41087626609152,5
36.559169050329565,137.3687677977506,59.2308900389996,5
36.7200718573369,95.22010778600534,55.373049993427685,5
36.23179599526793,95.13418393725628,54.4998957192306,5
39.83190830643568,77.1190933110833,70.32649144764288,5
32.76161660015962,145.50746815642458,74.39983399840384,5
30.467100399042298,145.43331779728652,70.29606512370312,5
38.89880743305401,102.71927704461952,60.60001198699829,5
38.981452210904266,103.06655711107766,60.64314566711827,5
39.374986461186154,149.41981153971128,79.6499992263535,5
28.77227591613346,153.87762627344094,51.4079239147398,5
34.15671472941564,141.40384903575762,80.82244159156556,5
39.640682975135,149.16340806758575,80.3050503643875,5
29.944761539437707,161.65893044611852,83.92779271120546,5
24.90338569005895,158.34098591386808,74.44620649277235,5
35.546509841341724,141.29698425277505,73.1925530882567,5
36.047026033327406,141.33296943819983,74.09502919247626,5
26.608418824938862,120.9976845680658,53.75308806540478,5
26.64268623017401,121.14725291362633,53.685162146061465,5
28.725047475424486,124.44529155495978,51.43810840354909,5
29.126893032682244,124.16778174071237,52.56285905783225,5
29.829866114040787,154.09281828310947,52.77859820783717,5
30.52674190851371,128.22406955438234,60.43638116201193,5
27.172094483911764,125.45432570298509,73.14065812814572,5
27.063217307904498,125.8021524541882,72.44287933185649,5
29.541440295919546,132.37563720957115,68.15498786267483,5
29.54070338689169,132.32667610680846,68.15030343312912,5
33.51981516290727,136.74926900584796,88.38756961849067,5
