R,G,B,label
121.53094478737997,139.0531970164609,168.41121484910838,2
167.20139917695474,184.64020061728394,188.4423396776406,2
167.20139917695474,184.64020061728394,188.4423396776406,2
129.5053798010974,144.01278635116597,165.7028549382716,2
129.5053798010974,144.01278635116597,165.7028549382716,2
125.0652237654321,140.70748456790125,160.51335991083675,2
125.0652237654321,140.70748456790125,160.51335991083675,2
129.87475737311385,151.3170447530864,164.59846021947874,2
122.68079732510289,144.86077246227708,163.26848079561043,2
122.68079732510289,144.86077246227708,163.26848079561043,2
117.22726423182442,142.9500205761317,164.00453360768176,2
117.22726423182442,142.9500205761317,164.00453360768176,2
126.05754801097393,140.28592764060357,166.66802554869685,2
126.05754801097393,140.28592764060357,166.66802554869685,2
122.66739283264747,142.4046416323731,157.40506172839505,2
122.66739283264747,142.4046416323731,157.40506172839505,2
121.4878120713306,137.57137002743485,179.44558384773663,2
121.4878120713306,137.57137002743485,179.44558384773663,2
124.1437457133059,142.4264746227709,159.81890260631002,2
134.95812671467763,155.80334619341565,134.38632630315502,3
137.0116546639232,158.14772633744855,131.41087620027434,3
129.5236488340192,153.08016117969822,133.1493998628258,3
129.5236488340192,153.08016117969822,133.1493998628258,3
130.49748885459533,152.97384516460906,138.79595078875172,3
130.49748885459533,152.97384516460906,138.79595078875172,3
123.11329046639231,139.09308470507546,133.30785322359395,3
141.5323353909465,160.95405521262003,129.99558470507546,3
141.5323353909465,160.95405521262003,129.99558470507546,3
122.9047633744856,144.19894290123457,123.16580161179698,3
134.95812671467763,155.80334619341565,134.38632630315502,3
122.9047633744856,144.19894290123457,123.16580161179698,3
132.38135373799724,153.02436042524005,134.24353137860084,3
132.38135373799724,153.02436042524005,134.24353137860084,3
125.75729852537722,146.42297067901234,130.29763203017833,3
125.75729852537722,146.42297067901234,130.29763203017833,3
141.9447033607682,158.8803163580247,145.48244770233197,3
123.15765089163237,152.3475600137174,130.8148268175583,3
123.15765089163237,152.3475600137174,130.8148268175583,3
127.61518175582991,151.09900548696845,134.17556755829904,3
166.04325703017832,182.92507973251028,163.9495010288066,3
127.61518175582991,151.09900548696845,134.17556755829904,3
135.50005829903978,158.32834104938271,146.27695130315502,3
135.50005829903978,158.32834104938271,146.27695130315502,3
138.77780092592593,163.9369761659808,145.0032896090535,3
138.77780092592593,163.9369761659808,145.0032896090535,3
134.9918038408779,157.4947599451303,144.52222650891633,3
134.9918038408779,157.4947599451303,144.52222650891633,3
135.4928806584362,159.0032973251029,136.38818501371742,3
135.4928806584362,159.0032973251029,136.38818501371742,3
166.04325703017832,182.92507973251028,163.9495010288066,3
135.61827160493826,151.13521347736625,125.39607167352538,3
119.11251457475994,141.2478120713306,128.50416066529493,3
